epoch,acc,loss,lr,mean_absolute_error,mean_squared_error,sparse_categorical_accuracy,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error,val_sparse_categorical_accuracy
0,0.5354231,3.424712646256177,0.001,24.628775,757.8238,0.5354231,0.8200129,0.5637997114912813,24.606071,758.8836,0.8200129
1,0.7744027,0.7320462640792639,0.00095,24.627842,757.81854,0.7744027,0.55646336,1.8447465742004487,24.606071,758.88257,0.55646336
2,0.8119741,0.5952039856957965,0.0009025,24.627447,757.75165,0.8119741,0.45138326,2.859464025898399,24.606071,758.8822,0.45138326
3,0.83418316,0.5177840894240938,0.000857375,24.628256,757.7632,0.83418316,0.87453485,0.38128109003524424,24.606071,758.8861,0.87453485
4,0.8476968,0.46577260273133925,0.00081450626,24.626097,757.7402,0.8476968,0.59670764,1.6549537031493242,24.606071,758.8839,0.59670764
5,0.8581356,0.430670244036201,0.0007737809,24.629372,757.86334,0.8581356,0.8454943,0.4638241068357638,24.606071,758.8853,0.8454943
6,0.8643058,0.40712830696159785,0.0007350919,24.629883,757.9263,0.8643058,0.6454457,1.3843737700315528,24.606071,758.884,0.6454457
7,0.871265,0.384360879279821,0.0006983373,24.631908,757.9597,0.871265,0.8717036,0.378343940899258,24.606071,758.8857,0.8717036
8,0.8743602,0.3717326507806134,0.0006634204,24.62902,757.8122,0.8743602,0.8975489,0.2971927536673179,24.606071,758.88666,0.8975489
9,0.8789929,0.35681385955709066,0.0006302494,24.625265,757.68713,0.8789929,0.89346385,0.3093241405797421,24.606071,758.88715,0.89346385
10,0.8803686,0.3483521174949584,0.0005987369,24.627125,757.7509,0.8803686,0.86393785,0.4088185754391385,24.606071,758.88605,0.86393785
11,0.8838684,0.3368557180525553,0.0005688001,24.628439,757.8373,0.8838684,0.8824624,0.35247136256326217,24.606071,758.8857,0.8824624
12,0.8868625,0.328525886220553,0.0005403601,24.629936,757.864,0.8868625,0.89851964,0.2863196993890046,24.606071,758.88715,0.89851964
13,0.88937104,0.3228397549756613,0.0005133421,24.62629,757.75354,0.88937104,0.9020789,0.28122931786295974,24.606071,758.8871,0.9020789
14,0.8910603,0.31420826039458777,0.000487675,24.627676,757.71027,0.8910603,0.90131044,0.2847535963619627,24.606071,758.88745,0.90131044
15,0.8932856,0.3086919795099795,0.00046329122,24.627672,757.87177,0.8932856,0.902443,0.28523550030774164,24.606071,758.88666,0.902443
16,0.8944488,0.3041507888094939,0.00044012666,24.631721,757.8941,0.8944488,0.9067303,0.27337647368227835,24.606071,758.88696,0.9067303
17,0.89685625,0.2980784978438344,0.00041812033,24.623533,757.6028,0.89685625,0.8629267,0.38684603316470845,24.606071,758.8859,0.8629267
18,0.89640105,0.2962355595458485,0.00039721432,24.629896,757.8195,0.89640105,0.90025884,0.2879242319155865,24.606071,758.8871,0.90025884
19,0.8982218,0.2895599377264189,0.0003773536,24.625542,757.80115,0.8982218,0.7789193,0.7598268147003758,24.606071,758.88586,0.7789193
20,0.899122,0.28472552163260495,0.00035848594,24.628235,757.8104,0.899122,0.90753925,0.26981275230116014,24.606071,758.8872,0.90753925
21,0.9005887,0.2819498294917293,0.00034056162,24.634966,758.051,0.9005887,0.9116243,0.25860899321031294,24.606071,758.88715,0.9116243
22,0.9017317,0.28087528271755513,0.00032353355,24.616331,757.31494,0.9017317,0.9084695,0.2600391529943857,24.606071,758.88715,0.9084695
23,0.9036131,0.2733495132532828,0.00030735688,24.637634,758.22485,0.9036131,0.9112199,0.2551678656244995,24.606071,758.8874,0.9112199
24,0.903077,0.2749391416431894,0.000291989,24.630333,757.9053,0.903077,0.9094807,0.2616492264445047,24.606071,758.8874,0.9094807
25,0.9050191,0.26834783643054244,0.00027738957,24.623579,757.48505,0.9050191,0.91380847,0.2539638765252654,24.606071,758.88715,0.91380847
26,0.90544397,0.2677347261289595,0.0002635201,24.627361,757.88513,0.90544397,0.91109854,0.2612874239350622,24.606071,758.8873,0.91109854
27,0.9054136,0.2665342921811846,0.00025034408,24.630634,757.8787,0.9054136,0.82130724,0.5654042497431476,24.606071,758.8863,0.82130724
28,0.90645546,0.2611269149935691,0.00023782688,24.634336,758.17523,0.90645546,0.90616405,0.2704186450839428,24.606071,758.88745,0.90616405
29,0.90757823,0.2609624784383355,0.00022593554,24.62778,757.73413,0.90757823,0.91243327,0.25613789826891786,24.606071,758.88745,0.91243327
