epoch,accuracy,loss,lr,mean_absolute_error,mean_squared_error,sparse_categorical_accuracy,val_accuracy,val_loss,val_mean_absolute_error,val_mean_squared_error,val_sparse_categorical_accuracy
0,0.47839624,5.188340063614319,0.001,24.934566,797.6061,0.47839624,0.6792003,2.9932002127170563,24.97853,800.88904,0.6792003
1,0.71680105,1.895576773205405,0.00095,24.934566,797.6072,0.71680105,0.81166196,0.6972351457651068,24.97853,800.88696,0.81166196
2,0.8007945,0.673711099043064,0.0009025,24.934568,797.6044,0.8007945,0.8546548,0.4866084837150283,24.97853,800.88495,0.8546548
3,0.8288996,0.5334845631155695,0.000857375,24.934565,797.6044,0.8288996,0.86605906,0.4177458469824093,24.97853,800.8858,0.86605906
4,0.84061414,0.4884389476130617,0.00081450626,24.934566,797.60455,0.84061414,0.8630529,0.4175485196273501,24.97853,800.8865,0.8630529
5,0.85063463,0.4576611496177846,0.0007737809,24.934566,797.6045,0.85063463,0.8527938,0.4900360962875733,24.97853,800.8839,0.8527938
6,0.8586153,0.4258912767840403,0.0007350919,24.934565,797.60486,0.8586153,0.8781314,0.3701097140679272,24.97853,800.8858,0.8781314
7,0.8688147,0.3952327509594082,0.0006983373,24.934566,797.6061,0.8688147,0.8919216,0.32329819851168773,24.97853,800.88696,0.8919216
8,0.8732285,0.3743108259783723,0.0006634204,24.934565,797.6056,0.8732285,0.89320993,0.3126026165739792,24.97853,800.8868,0.89320993
9,0.8806485,0.3545632645926494,0.0006302494,24.934565,797.6061,0.8806485,0.88543206,0.3445969681459956,24.97853,800.8858,0.88543206
